Score,Lower Estimate,Higher Estimate
7.1,4.9,10
10.1,7.3,14.1
11.5,8.7,14.9
1.28,0.16,2.39
0.25,0,1.15
0.28,0.05,0.5
0.11,0.03,0.19
0.96,0.53,1.38
2.6,1.5,4.7
7.9,5.4,11.5
11.9,8.4,16.5
15.8,11.6,21
1.31,0,2.78
9.9,1.62,18.18
3.72,0.8,6.65
5.17,1.21,9.14
1.28,0.16,2.4
0.32,0,1.34
0.28,0.05,0.51
0.11,0.03,0.19
2.58,0.98,4.19
1.02,0.58,1.47
9.5,6.4,13.8
15.2,11.1,20.2
