GEO.display-label,Geography,"Johnson County, Kansas","Leavenworth County, Kansas","Sedgwick County, Kansas","Wyandotte County, Kansas","Clay County, Missouri","Jackson County, Missouri"
HC01_VC85,Median household income (dollars),81121,70022,52841,42783,65675,50652
HC01_VC86,Mean household income (dollars),109320,82803,70101,53135,81748,68982
